manufacturer,caliber_inches,weight_gr,bullet_name
Aguila,0.223,29,Short High Velocity
Aguila,0.223,30,Super Maximum Hollow Point
Aguila,0.223,30,Super Maximum Solid
Aguila,0.223,38,Long Rifle High Velocity Hollow Point
Aguila,0.223,38,Long Rifle Subsonic HP
Aguila,0.223,40,Long Rifle High Velocity Solid
Aguila,0.223,40,Long Rifle Match Golden Eagle
Aguila,0.223,40,Long Rifle Standard Velocity
Aguila,0.223,40,Match Rifle
Aguila,0.223,60,SSS Sniper Subsonic
Alco Precision,0.000,12,Alpha Hunter
Alco Precision,0.224,69,RBT ULD Machined Metal Tip
Alco Precision,0.224,77,RBT ULD Machined Metal Tip
Alco Precision,0.224,90,RBT ULD Machined Metal Tip
Alco Precision,0.284,168,RBT ULD Machined Metal Tip
Alco Precision,0.284,180,RBT ULD Machined Metal Tip
Alco Precision,0.284,195,RBT ULD Machined Metal Tip
Alco Precision,0.308,110,Flat Base
Alco Precision,0.308,125,Flat Base
Alco Precision,0.308,150,Flat Base
Alco Precision,0.308,155,RBT ULD Machined Metal Tip
Alco Precision,0.308,155,Rebated Boat Tail
Alco Precision,0.308,168,RBT ULD Machined Metal Tip
Alco Precision,0.308,168,Rebated Boat Tail
Alco Precision,0.308,175,RBT ULD Machined Metal Tip
Alco Precision,0.308,175,Rebated Boat Tail
Alco Precision,0.308,185,RBT ULD Machined Metal Tip
Alco Precision,0.308,190,RBT ULD Machined Metal Tip
Alco Precision,0.308,200,Flat Base
Alco Precision,0.308,200,Rebated Boat Tail
Alco Precision,0.308,210,Flat Base
Alco Precision,0.308,210,RBT ULD Machined Metal Tip
Alco Precision,0.308,210,Rebated Boat Tail
Alco Precision,0.308,220,Flat Base
Alco Precision,0.308,220,RBT ULD Machined Metal Tip
Alco Precision,0.308,220,Rebated Boat Tail
Alco Precision,0.308,230,Flat Base
Alco Precision,0.308,230,Rebated Boat Tail
Alco Precision,0.308,240,RBT ULD Machined Metal Tip
Armscor,0.224,62,FMJ w/cannelure
Balistix,0.243,75,HunTac
Balistix,0.243,75,Target
Balistix,0.243,85,HunTac
Balistix,0.243,85,Target
Balistix,0.264,115,HunTac
Balistix,0.264,115,Target
Balistix,0.264,120,HunTac
Balistix,0.264,125,HunTac
Balistix,0.264,125,Target
Balistix,0.277,130,HunTac
Balistix,0.277,130,Target
Balistix,0.284,140,HunTac
Balistix,0.284,140,Target
Balistix,0.303,170,HunTac
Balistix,0.308,155,HunTac
Balistix,0.308,155,Target
Balistix,0.308,155,Ultra Hunt
Balistix,0.308,165,HunTac
Balistix,0.308,165,Target
Balistix,0.308,165,Ultra Hunt
Balistix,0.308,175,HunTac
Balistix,0.308,175,Target
Balistix,0.308,175,Ultra Hunt
Balistix,0.323,200,Ultra Hunt
Balistix,0.338,250,HunTac
Balistix,0.338,250,Target
Balistix,0.338,250,Ultra Hunt
Balistix,0.366,230,Target
Balistix,0.366,230,Ultra Hunt
Balistix,0.375,250,Target
Balistix,0.375,250,Ultra Hunt
Balistix,0.375,375,HunTac
Balistix,0.375,375,Target
Barnes,0.204,32,Varmin-A-Tor&trade;
Barnes,0.224,30,Varmint Grenade Flat Base
Barnes,0.224,36,Varmint Grenade
Barnes,0.224,40,Varmin-A-Tor&trade;
Barnes,0.224,45,Banded Spitzer
Barnes,0.224,45,Triple-Shock&trade; X Flat Base
Barnes,0.224,45,XLC&trade; Boattail
Barnes,0.224,50,Boattail
Barnes,0.224,50,Tipped Triple-Shock&trade; X Boattail
Barnes,0.224,50,Tipped Triple-Shock&trade; X Flat Base
Barnes,0.224,50,Varmin-A-Tor&trade;
Barnes,0.224,50,Varmint Grenade
Barnes,0.224,52,BT Match
Barnes,0.224,52,Match Burner&trade; MB Match
Barnes,0.224,53,Triple-Shock&trade; X Flat Base
Barnes,0.224,53,XLC&trade; Flat Base
Barnes,0.224,55,Multi-Purpose Green&trade; Flat Base
Barnes,0.224,55,RRLP&trade; Flat Base
Barnes,0.224,55,TAC-X&trade; Flat Base
Barnes,0.224,55,Tipped Triple-Shock&trade; X Boattail
Barnes,0.224,55,Triple-Shock&trade; X Flat Base
Barnes,0.224,62,TAC-X&trade; Boattail
Barnes,0.224,62,Tipped Triple-Shock&trade; X Boattail
Barnes,0.224,62,Tipped Triple-Shock&trade; X Boattail (Litz)
Barnes,0.224,62,Triple-Shock&trade; X Boattail
Barnes,0.224,69,BT Match
Barnes,0.224,69,Match Burner&trade; BT Match
Barnes,0.224,69,Match Burner&trade; BT Match (Litz)
Barnes,0.224,70,TAC-X&trade; Boattail
Barnes,0.224,70,TAC-X&trade; Boattail (Litz)
Barnes,0.224,70,Triple-Shock&trade; X Boattail
Barnes,0.224,70,Triple-Shock&trade; X Boattail (Litz)
Barnes,0.224,77,Long Range X Boattail
Barnes,0.224,85,BT Match
Barnes,0.224,85,Match Burner&trade; BT Match
Barnes,0.224,85,Match Burner&trade; BT Match (Litz)
Barnes,0.243,58,Varmin-A-Tor&trade;
Barnes,0.243,62,Varmint Grenade
Barnes,0.243,68,BT Match
Barnes,0.243,68,Match Burner&trade; FB Match
Barnes,0.243,72,Varmin-A-Tor&trade;
Barnes,0.243,75,Banded Spitzer Boattail
Barnes,0.243,80,Tipped Triple-Shock&trade; X Boattail
Barnes,0.243,80,Tipped Triple-Shock&trade; X Boattail (Litz)
Barnes,0.243,85,Boattail
Barnes,0.243,85,Triple-Shock&trade; X Boattail
Barnes,0.243,90,X Flat Base
Barnes,0.243,95,Long Range X Boattail
Barnes,0.243,95,XLC&trade; Flat Base
Barnes,0.243,105,BT Match
Barnes,0.243,105,Match Burner&trade; BT Match
Barnes,0.243,112,Match Burner&trade; BT Match
Barnes,0.243,115,Round Nose Soft Point
Barnes,0.257,80,Tipped Triple-Shock&trade; X Boattail
Barnes,0.257,80,Tipped Triple-Shock&trade; X Boattail (Litz)
Barnes,0.257,90,Banded Tipped Triple-Shock&trade; X Boattail
Barnes,0.257,90,Boattail
Barnes,0.257,100,Tipped Triple-Shock&trade; X Boattail
Barnes,0.257,100,Triple-Shock&trade; X Boattail
Barnes,0.257,100,XLC&trade; Boattail
Barnes,0.257,101,Long Range X Boattail
Barnes,0.257,115,Triple-Shock&trade; X Flat Base
Barnes,0.257,115,Triple-Shock&trade; X Flat Base (Litz)
Barnes,0.264,100,Tipped Triple-Shock&trade;
Barnes,0.264,110,Banded Spitzer Boattail
Barnes,0.264,115,TAC-TX&trade;
Barnes,0.264,120,Match Burner&trade; BT Match
Barnes,0.264,120,Tipped Triple-Shock&trade;
Barnes,0.264,120,Triple-Shock&trade; X Boattail
Barnes,0.264,120,XLC&trade; Flat Base
Barnes,0.264,127,Long Range X Boattail
Barnes,0.264,130,Triple-Shock&trade; X Flat Base
Barnes,0.264,140,BT Match
Barnes,0.264,140,Match Burner&trade; BT Match
Barnes,0.264,140,XLC&trade; Flat Base
Barnes,0.264,145,Match Burner&trade; MB Match
Barnes,0.277,85,TAC-X&trade; Flat Base
Barnes,0.277,85,Tipped Triple-Shock&trade; X Flat Base
Barnes,0.277,95,Tipped Triple-Shock&trade; X Boattail
Barnes,0.277,110,TAC-X&trade; Boattail
Barnes,0.277,110,Tipped Triple-Shock&trade; Boattail
Barnes,0.277,110,Triple-Shock&trade; X Boattail
Barnes,0.277,120,Banded Spitzer Boattail
Barnes,0.277,129,Long Range X Boattail
Barnes,0.277,130,MRX BT
Barnes,0.277,130,Tipped Triple-Shock&trade; Boattail
Barnes,0.277,130,Triple-Shock&trade; X Boattail
Barnes,0.277,130,XLC&trade; Boattail
Barnes,0.277,140,Triple-Shock&trade; X Boattail
Barnes,0.277,150,MRX BT
Barnes,0.277,150,Triple-Shock&trade; X Flat Base
Barnes,0.277,155,Long Range X Boattail
Barnes,0.284,110,Tipped Triple-Shock&trade; Flatbase
Barnes,0.284,120,Tipped Triple-Shock&trade; Boattail
Barnes,0.284,120,Triple-Shock&trade; X Boattail
Barnes,0.284,130,Tipped Triple-Shock&trade; Boattail
Barnes,0.284,139,Long Range X Boattail
Barnes,0.284,140,Banded Spitzer Boattail
Barnes,0.284,140,MRX BT
Barnes,0.284,140,Tipped Triple-Shock&trade; Boattail
Barnes,0.284,140,Triple-Shock&trade; X Boattail
Barnes,0.284,140,XLC&trade; Boattail
Barnes,0.284,145,Long Range X Boattail
Barnes,0.284,150,Tipped Triple-Shock&trade; X Boattail
Barnes,0.284,150,Triple-Shock&trade; X Boattail
Barnes,0.284,150,X Boattail
Barnes,0.284,160,MRX BT
Barnes,0.284,160,Triple-Shock&trade; X Flat Base
Barnes,0.284,160,XLC&trade; Flat Base
Barnes,0.284,168,Long Range X Boattail
Barnes,0.284,171,BT Match
Barnes,0.284,171,Match Burner&trade; BT Match
Barnes,0.284,175,TSX (Litz)
Barnes,0.284,175,Triple-Shock&trade; X Flat Base
Barnes,0.284,175,X Flat Base
Barnes,0.308,100,X Flat Nose
Barnes,0.308,110,300 Tipped Triple-Shock&trade; X Flat Base - AAC BLK
Barnes,0.308,110,TAC-TX&trade;
Barnes,0.308,110,TAC-X&trade; Flat Base
Barnes,0.308,110,Tipped Triple-Shock&trade; X Flat Base
Barnes,0.308,110,Triple-Shock&trade; X Flat Base
Barnes,0.308,120,TAC-TX&trade;
Barnes,0.308,130,Tipped Triple-Shock&trade; X Boattail
Barnes,0.308,130,Triple-Shock&trade; X Boattail
Barnes,0.308,130,XLC&trade; Boattail
Barnes,0.308,140,Multi-Purpose Green&trade; Flat Base
Barnes,0.308,140,RRLP&trade; Flat Base
Barnes,0.308,150,MRX BT
Barnes,0.308,150,TAC-X&trade; Boattail
Barnes,0.308,150,Tipped Triple-Shock&trade; X Boattail
Barnes,0.308,150,Triple-Shock&trade; X Boattail
Barnes,0.308,150,Triple-Shock&trade; X Flat Nose
Barnes,0.308,150,X Flat Base
Barnes,0.308,150,X Flat Nose
Barnes,0.308,150,XLC&trade; Boattail
Barnes,0.308,155,BT Match
Barnes,0.308,155,Match Burner&trade; BT Palma
Barnes,0.308,165,Banded Spitzer Boattail
Barnes,0.308,165,MRX BT
Barnes,0.308,165,Tipped Triple-Shock&trade; X Boattail
Barnes,0.308,165,Triple-Shock&trade; X Boattail
Barnes,0.308,165,X Boattail
Barnes,0.308,165,XLC&trade; Boattail
Barnes,0.308,168,TAC-X&trade; Boattail
Barnes,0.308,168,TSX BT (Litz)
Barnes,0.308,168,TTSX BT (Litz)
Barnes,0.308,168,Tipped Triple-Shock&trade; X Boattail
Barnes,0.308,168,Triple-Shock&trade; X Boattail
Barnes,0.308,168,XLC&trade; Boattail
Barnes,0.308,175,BT Match
Barnes,0.308,175,Long Range X Boattail
Barnes,0.308,175,Match Burner&trade; BT Match
Barnes,0.308,180,MRX BT
Barnes,0.308,180,TSX BT (Litz)
Barnes,0.308,180,Tipped Triple-Shock&trade; X Boattail
Barnes,0.308,180,Triple-Shock&trade; X Boattail
Barnes,0.308,180,X Boattail
Barnes,0.308,180,X Flat Base
Barnes,0.308,180,XLC&trade; Boattail
Barnes,0.308,190,Long Range X Boattail
Barnes,0.308,200,Long Range X Boattail
Barnes,0.308,200,Tipped Triple-Shock&trade; X Boattail
Barnes,0.308,200,Triple-Shock&trade; X Flat Base
Barnes,0.308,200,X Flat Base
Barnes,0.308,208,Long Range X Boattail
Barnes,0.308,212,Long Range X Boattail Bore Rider
Barnes,0.310,108,Multi-Purpose Green&trade; Flat Base
Barnes,0.310,108,RRLP&trade; Flat Base
Barnes,0.310,123,TAC-X&trade; Boattail
Barnes,0.323,160,Tipped Triple-Shock&trade; X Boattail
Barnes,0.323,180,Triple-Shock&trade; X Boattail
Barnes,0.323,200,Triple-Shock&trade; X Boattail
Barnes,0.323,200,XLC&trade; Flat Base
Barnes,0.338,160,Tipped Triple-Shock&trade; X Flat Base
Barnes,0.338,160,X Flat Base
Barnes,0.338,185,MRX BT
Barnes,0.338,185,Tipped Triple-Shock&trade; X Boattail
Barnes,0.338,185,Tipped Triple-Shock&trade; X Boattail (Litz)
Barnes,0.338,185,Triple-Shock&trade; X Boattail
Barnes,0.338,185,XLC&trade; Boattail
Barnes,0.338,210,Tipped Triple-Shock&trade; X Boattail
Barnes,0.338,210,Tipped Triple-Shock&trade; X Boattail (Litz)
Barnes,0.338,210,Triple-Shock&trade; X Boattail
Barnes,0.338,225,MRX BT
Barnes,0.338,225,TTSX BT (Litz)
Barnes,0.338,225,Tipped Triple-Shock&trade; X Boattail
Barnes,0.338,225,Tipped Triple-Shock&trade; X Boattail (Litz)
Barnes,0.338,225,Triple-Shock&trade; X Flat Base
Barnes,0.338,250,Banded Solid Roundnose
Barnes,0.338,250,MRX BT
Barnes,0.338,250,Triple-Shock&trade; X Flat Base
Barnes,0.338,250,X Flat Base
Barnes,0.338,265,Lapua Tipped Triple-Shock&trade; X Boattail
Barnes,0.338,265,Long Range X Boattail
Barnes,0.338,265,Long Range X Boattail
Barnes,0.338,285,Long Range X Boattail
Barnes,0.338,285,Triple-Shock&trade; X Boattail (Litz)
Barnes,0.348,220,Flat Nose Soft Point
Barnes,0.348,250,Flat Nose Soft Point
Barnes,0.355,115,XPB&trade; Pistol
Barnes,0.358,180,Tipped Triple-Shock&trade; X Boattail
Barnes,0.358,180,X Flat Base
Barnes,0.358,200,Tipped Triple-Shock&trade; X Boattail
Barnes,0.358,200,X Flat Base
Barnes,0.358,225,Triple-Shock&trade; X Flat Base
Barnes,0.366,250,Banded Solid Round Nose
Barnes,0.366,250,Tipped Triple-Shock&trade; X Boattail
Barnes,0.366,250,Triple-Shock&trade; X Flat Base
Barnes,0.366,250,X Flat Base
Barnes,0.366,286,Banded Solid Round Nose
Barnes,0.366,286,Triple-Shock&trade; X Flat Base
Barnes,0.366,286,X Flat Base
Barnes,0.375,210,X Flat Base
Barnes,0.375,235,Triple-Shock&trade; X Flat Base
Barnes,0.375,235,XLC&trade; Flat Base
Barnes,0.375,250,Tipped Triple-Shock&trade; X Boattail
Barnes,0.375,255,Flat Nose Soft Point
Barnes,0.375,270,Banded Solid Round Nose
Barnes,0.375,270,Long Range X Boattail
Barnes,0.375,270,Triple-Shock&trade; X Flat Base
Barnes,0.375,300,Banded Solid Round Nose
Barnes,0.375,300,Triple-Shock&trade; X Flat Base
Barnes,0.375,350,Banded Solid Round Nose
Barnes,0.377,255,Flat Nose Soft Point
Barnes,0.400,155,XPB&trade; Pistol
Barnes,0.400,195,Expander MZ
Barnes,0.406,250,Flat Nose Soft Point
Barnes,0.406,250,Round Nose Soft Point
Barnes,0.410,400,Banded Solid Flat Nose
Barnes,0.411,300,X Flat Base
Barnes,0.416,300,X Flat Base
Barnes,0.416,350,Banded Solid Round Nose
Barnes,0.416,350,Tipped Triple-Shock&trade; X Boattail
Barnes,0.416,350,Triple-Shock&trade; X Flat Base
Barnes,0.416,400,Banded Solid Round Nose
Barnes,0.416,400,Triple-Shock&trade; X Flat Base
Barnes,0.422,400,Banded Solid Round Nose
Barnes,0.423,400,X Flat Base
Barnes,0.429,200,XPB&trade; Pistol
Barnes,0.429,225,XPB&trade; Pistol
Barnes,0.429,300,Buster&trade
Barnes,0.450,400,Buster&trade
Barnes,0.451,185,XPB&trade; Pistol
Barnes,0.451,200,XPB&trade; Pistol
Barnes,0.451,225,XPB&trade; Pistol
Barnes,0.451,245,Spit-Fire MZ
Barnes,0.451,250,Expander MZ
Barnes,0.451,250,Spit-Fire TMZ
Barnes,0.451,250,XPB&trade; Pistol
Barnes,0.451,285,Spit-Fire MZ
Barnes,0.451,290,Spit-Fire TMZ
Barnes,0.451,300,Expander MZ
Barnes,0.454,325,Buster&trade
Barnes,0.458,250,Triple-Shock&trade; X Flat Nose
Barnes,0.458,250,X Flat Nose
Barnes,0.458,300,300 Tipped Triple-Shock&trade; X Flat Base - 458 SOCOM
Barnes,0.458,300,Banded Solid Flat Nose
Barnes,0.458,300,Flat Nose Soft Point
Barnes,0.458,300,Spitzer Soft Point
Barnes,0.458,300,Tipped Triple-Shock&trade; X Boattail
Barnes,0.458,300,Triple-Shock&trade; X Flat Nose
Barnes,0.458,300,X Flat Base
Barnes,0.458,300,X Flat Nose
Barnes,0.458,350,X Flat Base
Barnes,0.458,400,Flat Nose Soft Point
Barnes,0.458,400,Spitzer Soft Point
Barnes,0.458,450,Banded Solid
Barnes,0.458,450,Triple-Shock&trade; X Flat Base
Barnes,0.458,500,Banded Solid Round Nose
Barnes,0.458,500,Triple-Shock&trade; X Flat Base
Barnes,0.458,600,Round Nose Soft Point
Barnes,0.474,500,Banded Solid Flat Nose
Barnes,0.474,500,Triple-Shock&trade; Flat Base
Barnes,0.475,500,XLC&trade; Flat Base
Barnes,0.500,275,Expander MZ
Barnes,0.500,275,XPB&trade; Pistol
Barnes,0.500,325,Expander MZ
Barnes,0.500,325,XPB&trade; Pistol
Barnes,0.500,375,XPB&trade; Pistol
Barnes,0.500,400,Buster&trade
Barnes,0.504,525,Banded Solid Round Nose
Barnes,0.509,570,Banded Solid Flat Nose
Barnes,0.509,570,Triple-Shock&trade; Flat Base
Barnes,0.509,570,XLC&trade; Flat Base
Barnes,0.510,300,Flat Nose Soft Point
Barnes,0.510,450,Flat Nose Soft Point
Barnes,0.510,535,Banded Solid Round Nose
Barnes,0.510,647,TAC-X&trade; Boattail
Barnes,0.510,647,Triple-Shock&trade; X Boattail
Barnes,0.510,647,X Boattail
Barnes,0.510,750,Banded Solid Bore Rider
Barnes,0.510,750,LRS Bore Rider Boattail
Barnes,0.510,750,TAC-LR&trade; Boattail (Secant)
Barnes,0.510,750,TAC-LR&trade; Boattail (Tangent)
Barnes,0.510,800,Banded Solid Bore Rider
Barnes,0.510,800,LRS Bore Rider Boattail
Barnes,0.525,525,Banded Solid
Barnes,0.583,750,Banded Solid Flat Nose
Barnes,0.585,750,XLC&trade; Flat Base
Barnes,0.618,900,Banded Solid Flat Base
Barrett,0.416,452,Brass Solid
Berger,0.172,20,Match Varmint
Berger,0.172,25,Match Target
Berger,0.172,25,Match Varmint
Berger,0.172,30,Match Varmint
Berger,0.204,30,Match Varmint
Berger,0.204,35,Match Varmint
Berger,0.204,40,Match Varmint
Berger,0.204,40,Match Varmint BT
Berger,0.204,50,Match Varmint
Berger,0.204,50,Match Varmint BT
Berger,0.204,55,Match Varmint BT
Berger,0.224,30,Match Varmint
Berger,0.224,40,Match Varmint
Berger,0.224,50,Match
Berger,0.224,50,Match Varmint
Berger,0.224,52,Match
Berger,0.224,52,Match Varmint
Berger,0.224,55,Match
Berger,0.224,55,Match Varmint
Berger,0.224,60,Match Varmint
Berger,0.224,62,Match Varmint
Berger,0.224,64,Match Varmint
Berger,0.224,70,Match Target VLD
Berger,0.224,70,Match VLD
Berger,0.224,70,VLD (Litz)
Berger,0.224,73,BT (Litz)
Berger,0.224,73,Match BT
Berger,0.224,73,Match Target BT
Berger,0.224,75,Match Target VLD
Berger,0.224,75,Match VLD
Berger,0.224,75,VLD (Litz)
Berger,0.224,77,BT (Litz)
Berger,0.224,77,Match BT
Berger,0.224,77,Match Target BT
Berger,0.224,77,OTM
Berger,0.224,80,Match Target VLD
Berger,0.224,80,Match Target VLD Moly
Berger,0.224,80,Match VLD
Berger,0.224,80,VLD (Litz)
Berger,0.224,80,Fullbore (Litz)
Berger,0.224,82,BT (Litz)
Berger,0.224,82,Match BT
Berger,0.224,82,Match Target BT
Berger,0.224,85.5,Long Range Hybrid Target
Berger,0.224,90,Match Target BT Long Range
Berger,0.224,90,Match Target BT Long Range (Litz)
